img,title,rating,t,y,room
https://cf.bstatic.com/xdata/images/hotel/square200/108367599.jpg?k=59e7032a905dc33cdf3a9b4d4344578bad98202962aabbf3ad860b404c73f682&o=,"
Tolip Hotel Alexandria
", 7.8 ," One of our top picks in Alexandria. Air-conditioned rooms are equipped with a mini-bar and flat-screen satellite TV. Each suite comes with a living room and a dining table. Featuring a bathtub and shower, private bathrooms are stocked with free toiletries. All rooms have a balcony.Guests can choose to dine at any of the hotel’s 9 dining outlets, which serve a variety of cuisine ranging from local to international. The pool bars are an ideal place for relaxation.The hotel is 1,300 feet from Al-Salam Theater and Stanley Bridge, and is 0.9 mi from Sidi Gaber Railway Station. Borg el Arab International Airport is 26 mi away. The property offers parking at an extra cost. ","EGP 70,424","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/34930840.jpg?k=719b076916c02f08a563cc9282af81e32a1b194c4b1f3e7f60d33b74a404f73d&o=,"
Abeer Hotel Alexandria
", 6.4 ,"Abeer Hotel Alexandria is located directly on the Mediterranean sea of the old Greek harbor of Alexandria in one of the oldest neighborhoods of Downtown. Breakfast is served in the room part of the room service.All rooms are simply decorated. Some rooms include a balcony with a sea view and a flat-screen TV. The bathroom includes a bath. Free WiFi is available.The hotel is 1.2 mi from Catacombs of Kom el Shoqafa, 3.1 mi from Alexandria Zoo and Sidi Gaber Railway Station. Borg el Arab International Airport is 23 mi away. ","EGP 1,633","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/253425622.jpg?k=5f1d27a964e04fd2cbd1ac55dc685c2b7097fd380f693e569444320e43ee7e15&o=,"
شاليهات فندقيه قرية ديمورا بيتش
", 3.0 ,"Located in Alexandria, قريه ديمورا features a restaurant. Among the various facilities are a garden and a terrace. Catacombs of Kom el Shoqafa is 1.2 miles from the hotel.Guests at the hotel can enjoy a continental breakfast.The reception at قريه ديمورا can provide tips on the area.Alexandria Zoo is 1.6 miles from the accommodation. Borg El Arab International Airport is 24 miles away. ","EGP 3,768","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/58124920.jpg?k=64749e3457c46b34ecd37517879e9b370a9123cf4871621de2ceea871a7c770f&o=,"
Egyptians Hostel
", 4.2 ,"Located in Alexandria, 1,000 feet from Miami Beach, Egyptians Hostel offers beachfront accommodations and various facilities, such as a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. Guests can have a drink at the snack bar.At the hostel the rooms are fitted with a wardrobe, a TV and a private bathroom.The area is popular for hiking and cycling, and car hire is available at Egyptians Hostel.Alexandria Zoo is 8.1 mi from the accommodations, while Catacombs of Kom el Shoqafa is 9.9 mi from the property. The nearest airport is Borg el Arab International, 37 mi from Egyptians Hostel, and the property offers a paid airport shuttle service. ",EGP 990,"4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/265203903.jpg?k=676a849f011d901b89ed7f5c6abbb1df764e0a9812f2edfaa75872b11107f097&o=,"
Ithaka Hostel
", 9.2 ,"Set 3.7 mi from Alexandria Zoo, Ithaka Hostel offers accommodations with a shared lounge, a terrace and a 24-hour front desk for your convenience. Free WiFi is featured throughout the property.The bed and breakfast offers a continental or à la carte breakfast.Catacombs of Kom el Shoqafa is 4.3 mi from Ithaka Hostel, while Alexandria Sporting Club is 1.9 mi away. The nearest airport is Borg el Arab International, 32 mi from the accommodations, and the property offers a paid airport shuttle service. ","EGP 1,177","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/229790595.jpg?k=e87eacd1e0b8141d9fa06196de0b6ae8b1cbf2199ec1ef12365395d20cbe805d&o=,"
Apartment Alex
",,"Featuring city views, Apartment Alex provides accommodations with a terrace and an electric tea pot, around 15 miles from Catacombs of Kom el Shoqafa. This beachfront property has a balcony and free WiFi.The apartment has 3 bedrooms, 2 bathrooms, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a patio with sea views.If you would like to discover the area, fishing is possible nearby.Alexandria Zoo is 17 miles from the apartment, while Alexandria Stadium is 16 miles away. The nearest airport is Borg El Arab International Airport, 17 miles from Apartment Alex. ","EGP 6,468","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/6098864.jpg?k=c7f66afff76c9a1c8672c20c0e7964bc88e432033c825665790ec13546385068&o=,"
Alexandria Mediterranean Suites
", 7.3 ,"Alexandria Mediterranean Suites is only 5 minutes from Montazah Palace. The hotel features spacious accommodations and a 24 hour front desk.Alexandria Mediterranean has individually decorated units with wood furniture and tiled floors. Each of the air-conditioned rooms and suites has a satellite TV, a work desk and a refrigerator.Guests can start their day with a rich breakfast in the privacy of their room. They will also find a vending machine with drinks, and many restaurants and cafés within walking distance of the hotel.Alexandria Library is a 25 minute drive away, and a car rental service is available on site. ","EGP 5,887","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/271694871.jpg?k=95a26c0adc00b29753a6142bbda9ec86758370110dc45ebfb7d351cbae9414fc&o=,"
Sunrise Alex Avenue Hotel
", 8.8 ," One of our top picks in Alexandria. All rooms and suites at the hotel include a balcony and feature a modern décor. Each suite has a living room, a flat-screen TV and an electric kettle. The bathroom is fitted with bath and hairdryer.Guests can enjoy an exquisite international cuisine, Lebanese cuisine and an oriental buffet breakfast at Mediterranean Restaurant. Featuring a seafront location, Laguna Terrace offers light snacks. Cocktails are served at Lounge Bar and Montreal.The hotel has a fully equipped gym with cardiovascular machines and a spa that offers relaxing massage treatments to guests.  For more relaxed options: a hot tub and steam room are also available.SUNRISE Alex Avenue Hotel is located only 1.9 mi from the city center and the stunning Bibliotheca Alexandrina. Alexandria Airport is 6.2 mi drive away.  Wi-Fi is available upon request. ","EGP 43,018","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/222716197.jpg?k=1f2e995ad315f9486a60481a6b07eafb183ae8f15fbb4719d1a949306ef2290a&o=,"
El-Behery House Hotel Apartments
", 4.5 ,"Featuring sea views, Movenpick House Hotel Apartments has accommodations with a balcony and an electric tea pot, around 9 miles from Alexandria Zoo. It is located 1.2 miles from Miami Beach and provides free WiFi plus a 24-hour front desk.The air-conditioned apartment is composed of 2 separate bedrooms, a fully equipped kitchenette with a fridge and an oven, and 1 bathroom. A flat-screen TV with satellite channels is featured.A car rental service is available at the apartment.Catacombs of Kom el Shoqafa is 12 miles from Movenpick House Hotel Apartments, while San Stefano Grand Plaza is 5 miles away. The nearest airport is Borg El Arab International Airport, 39 miles from the accommodation. ","EGP 4,773","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/197685136.jpg?k=31c57e1abde6486a1ba416b695d9f2d788ab54940a1d0d4977b77f79183210f7&o=,"
Zahrate Elfirdaos Rooms
", 6.2 ,"Zahrat alfirdaos in Alexandria provides adults only accommodations with a bar and a terrace. Around a 13-minute walk from Miami Beach, the property is also 6 miles away from Alexandria Zoo and offers free WiFi. The property is located 5 miles from Stanley Bridge and 5 miles from Smouha Sporting Club.At the guesthouse, all rooms have a balcony. Rooms are complete with a private bathroom equipped with a bidet, while some units at Zahrat alfirdaos also have a seating area.The accommodation offers a hot tub.Catacombs of Kom el Shoqafa is 10 miles from Zahrat alfirdaos, while San Stefano Grand Plaza is 2.6 miles away. The nearest airport is Borg El Arab International Airport, 38 miles from the guesthouse. ",EGP 283,"4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/273623605.jpg?k=58749e1518f7ced0a3253ec82cbf668208c0eaab18232ead3b09b3ee39449983&o=,"
شقه بالاسكندريه
",,"Located in Alexandria in the Alexandria Governorate region, شقه بالاسكندريه features a balcony. The property is 5 miles from Alexandria Zoo.This apartment has 2 bedrooms, a living room and a fully equipped kitchen.Catacombs of Kom el Shoqafa is 8 miles from the apartment, while San Stefano Grand Plaza is 2.6 miles away. Borg El Arab International Airport is 30 miles from the property. ","EGP 9,043","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/182723077.jpg?k=5c16335680965364a0e77062dfe90ba6eb48acc8da4f921bdb0d025cec28f4d3&o=,"
Apartment in Sidi Beshr Beach
",,"Featuring private pool, Apartment in Sidi Beshr Beach is located on the beachfront in Alexandria. This apartment has a 24-hour front desk and free WiFi.The apartment comes with 2 bedrooms, 1 bathroom, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a patio with lake views.The apartment provides a terrace.Miami Beach is an 18-minute walk from Apartment in Sidi Beshr Beach, while Alexandria Zoo is 6 miles from the property. The nearest airport is Borg El Arab International Airport, 37 miles from the accommodation. ","EGP 2,512","4 nights, 1 adult"
https://cf.bstatic.com/xdata/images/hotel/square200/25509460.jpg?k=4b64e825bb2be6992ef71d24c75d60807108166c1c5c914c54932ab47b1a6daa&o=,"
Hilton Alexandria Corniche
", 7.7 ," One of our top picks in Alexandria. All accommodations feature elegant and modern décor with free standard WIFI with speed up to 4MB. Each room is equipped with a flat-screen TV, a wardrobe and an electric kettle. Some includes a balcony or terrace with sea view. The suite comes with a living room.Guests can start the day with a breakfast or nutritious light bite; savor innovative dishes prepared with only the freshest ingredients from Greek, Lebanese, French, Asian to Middle Eastern cuisine, or simply relax with a cup of coffee in the hotel lounge.After an energizing workout at the fully equipped gym, guests have various options for relaxation such as massage treatments or hot tub, all at an added fee. For kids, the hotel offers a children’s playground in the summer by the beach.A number of restaurants, casinos and markets are located on the Corniche, the 9.3 mi of beachfront promenade. Al Nozha Alexandria Airport is 7.5 mi away. A complimentary beach shuttle service is available. ","EGP 70,901","4 nights, 1 adult"
